__Recipe,,Table 1,Array 1,Table 3,Table 4,Table 5,Ingredient,Category,Form,ASU,A,T.Cost,Unitary cost,C/oz,RECIPE NAME:,Missing purchase quantity of ingredient,Missing unitary cost of ingredient,0,-,D,Chirashi sushi,Sashimi platter,Bonsai Kaiko,Bonsai Sushi 12,Bonsai Rolls 20,BENTO 15,BENTO 18,Blu fin toro.S,Salmon.S,Tuna.S,Hamachi,Tarta Vasca,Mochis,Chocolate Cake,Key lime Pie,Monte Fuji,Edamame,Mashed Poatatoes,Truffle Fries,Fried Rice,Tenderloin Kuban,Skirt Steak,Lamb Osoducco,Salmon Reisui,Sea food katsura,Gunkan Taco,Gunkan Sake,Gunkan Ebi,Gunkan Kani,Sushi Toki,Gunkan uni,Gunkan Ikura,Gukan Arcoiris,Hotate Trufado,Negui Hama,Iku sake,Makano,Pesca Blanca,Blu fin toro,Tuna,Hand Roll Saslmon,Hand Roll Hamachi,Hand Roll Tuna,Passion roll,Butter Truffle Roll,Pangora Especial,Cumbaya,Spicy tuna,Samurai ebi,Samurai Salmon,Lobster,Fire roll crab,Tokio,Guayas,Noe Special,Special Tuna,Nubori,Kanebi,Ebi Zu,Cevichihi,Kani Kiuri Maki,Tuna Light,Kani Maguro,Sake Kani Special,Special Philadelphia,Special California,Eel Especial,Teka Maki,Sake maki,Piladelphia,Calirfornia,Hiyashi Wakame,Kani Seaweed,Pork tenderloin Ramen,Beef tenderloin Ramen,Miso Soup,Kamasuki Soup,Sumashi Soup,Pork Tacos,Truffled Dompling,Mizu Tako,Pangora By Fay Tu,Shrimp By Fay Tu,Octopus By Fay Tu,Sake Foie,Tuna Foie,Fresh Oysters,Maki Tartar,Tuna Tartar,Toni Doki,Hamachi Jalapeño,Noe Tataki
Chef Lo Mein shrimp,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein shrimp,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein beef,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein beef,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein beef,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein pork,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein pork,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein pork,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein chicken,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein chicken,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein chicken,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice special,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice special,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice special,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice shrimp,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice shrimp,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice shrimp,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice beef,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice beef,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice beef,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice chicken,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice chicken,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice chicken,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice pork,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice pork,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice pork,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Fried Rice,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side White Rice,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side White Rice,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side White Rice,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side Fried Rice,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side Fried Rice,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side Fried Rice,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Salad,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Salad,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Salad,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrimp Salad,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrimp Salad,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrimp Salad,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Ramen,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Ramen,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Ramen,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pork Ramen,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pork Ramen,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pork Ramen,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonton Soup shrimp,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonton Soup shrimp,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonton Soup shrimp,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonton Soup pork,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonton Soup pork,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonton Soup pork,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicekn Wings,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicekn Wings,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicekn Wings,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean Ribs,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean Ribs,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean Ribs,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAB CROQUETA,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAB CROQUETA,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAB CROQUETA,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrimp Tempura,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrimp Tempura,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrimp Tempura,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cali Spring Roll,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cali Spring Roll,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cali Spring Roll,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Roll,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Roll,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Roll,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
