Recipe (Sheet),Rows (without header),CSV file
Cumbaya,21,Cumbaya.csv
Spicy tuna,22,Spicy_tuna.csv
Samurai ebi,23,Samurai_ebi.csv
Samurai Salmon,22,Samurai_Salmon.csv
Lobster,27,Lobster.csv
Fire roll ebi,23,Fire_roll_ebi.csv
Fire roll crab,23,Fire_roll_crab.csv
Tokio,20,Tokio.csv
Guayas,29,Guayas.csv
Noe Special,22,Noe_Special.csv
Special Tuna,23,Special_Tuna.csv
Nubori,25,Nubori.csv
Kanebi,26,Kanebi.csv
Ebi Zu,25,Ebi_Zu.csv
Cevichihi,25,Cevichihi.csv
Kani Kiuri Maki,19,Kani_Kiuri_Maki.csv
Tuna Light,21,Tuna_Light.csv
Kani Maguro,21,Kani_Maguro.csv
Sake Kani.S,21,Sake_KaniS.csv
Special Philadelphia,22,Special_Philadelphia.csv
California Especial,21,California_Especial.csv
Eel Especial,20,Eel_Especial.csv
Teka Maki,18,Teka_Maki.csv
Sake Maki,18,Sake_Maki.csv
Philadlephia,21,Philadlephia.csv
California,20,California.csv
Hiyashi Wakame,16,Hiyashi_Wakame.csv
Kani Seaweed,24,Kani_Seaweed.csv
P.Ramen ,27,PRamen.csv
B.Ramen,27,BRamen.csv
Miso Soup,17,Miso_Soup.csv
Kamasuki Soup,29,Kamasuki_Soup.csv
Sumashi Soup,29,Sumashi_Soup.csv
Pork Tacos,20,Pork_Tacos.csv
Truffled Dompling,32,Truffled_Dompling.csv
Mizu Tako,26,Mizu_Tako.csv
By Fay Tu Pan,25,By_Fay_Tu_Pan.csv
By Fay Tu Sh,25,By_Fay_Tu_Sh.csv
By Fay Tu Oct,25,By_Fay_Tu_Oct.csv
Sake Foie,20,Sake_Foie.csv
Tuna Foie,19,Tuna_Foie.csv
Fresh Oysters,19,Fresh_Oysters.csv
Maki Tartar,26,Maki_Tartar.csv
Tuna Tartar,26,Tuna_Tartar.csv
Toni Doki,27,Toni_Doki.csv
Hamachi Jalapeño,27,Hamachi_Jalapeño.csv
NOE Tataki,26,NOE_Tataki.csv
